n_clusters,max_features,min_df,max_df,merge_small,min_cluster_size,n_clusters_final,silhouette
95,7000,10,0.3,True,15,88,0.036881402012321464
95,10000,10,0.3,True,15,88,0.036881402012321464
95,5000,10,0.3,True,15,88,0.036881402012321464
90,5000,5,0.11,True,15,83,0.03679184171615015
80,5000,2,0.2,True,15,76,0.036403281908502574
95,5000,7,0.11,True,15,85,0.03623794658784651
100,5000,2,0.15,True,15,86,0.0362200828139182
95,5000,2,0.3,True,15,85,0.03616553123987878
95,5000,10,0.11,True,15,85,0.03616551708450422
95,10000,10,0.11,True,15,85,0.03616551708450422
95,7000,10,0.11,True,15,85,0.03616551708450422
100,5000,5,0.2,True,15,87,0.03606403717885726
95,5000,5,0.25,True,15,83,0.036008053076120816
95,5000,10,0.15,True,15,86,0.035900140734625934
95,7000,10,0.15,True,15,86,0.035900140734625934
95,10000,10,0.15,True,15,86,0.035900140734625934
100,10000,10,0.15,True,15,88,0.0358127124187705
100,7000,10,0.15,True,15,88,0.0358127124187705
100,5000,10,0.15,True,15,88,0.0358127124187705
95,5000,2,0.11,True,15,82,0.03580483123735103
100,5000,2,0.2,True,15,84,0.03545956344701784
90,5000,7,0.3,True,15,79,0.03535266347231127
80,5000,7,0.15,True,15,73,0.0351651511367352
90,5000,7,0.15,True,15,83,0.03500425966854402
80,5000,7,0.11,True,15,73,0.034998877392317725
90,5000,2,0.2,True,15,80,0.034980057677214065
100,5000,5,0.25,True,15,86,0.03491945649079135
95,5000,7,0.25,True,15,83,0.03488757291147188
90,5000,7,0.2,True,15,79,0.03484037907388334
95,10000,10,0.25,True,15,82,0.03477612711421071
95,7000,10,0.25,True,15,82,0.03477612711421071
95,5000,10,0.25,True,15,82,0.03477612711421071
95,5000,5,0.15,True,15,81,0.03461074428453657
95,5000,5,0.3,True,15,83,0.034595401015450424
100,7000,5,0.3,True,15,89,0.034563756551605734
100,5000,7,0.25,True,15,85,0.03452366376696018
80,5000,10,0.25,True,15,77,0.03446590408900428
80,10000,10,0.25,True,15,77,0.03446590408900428
80,7000,10,0.25,True,15,77,0.03446590408900428
95,5000,7,0.15,True,15,82,0.034418476045351976
100,5000,2,0.11,True,15,82,0.03440859355211438
90,10000,10,0.25,True,15,80,0.03430449419378179
90,5000,10,0.25,True,15,80,0.03430449419378179
90,7000,10,0.25,True,15,80,0.03430449419378179
80,5000,2,0.11,True,15,74,0.03429606737244482
80,5000,7,0.3,True,15,73,0.03425362540474083
95,5000,2,0.11,True,20,74,0.03419082129754966
65,5000,7,0.3,True,15,64,0.03417311128707927
95,5000,2,0.25,True,15,84,0.03414279969249271
100,7000,7,0.11,True,15,85,0.034124606335766756
95,5000,5,0.2,True,15,76,0.03411043125353679
60,5000,2,0.25,True,15,60,0.034034100807953084
100,7000,10,0.11,True,15,86,0.03402896637061846
100,10000,10,0.11,True,15,86,0.03402896637061846
100,5000,10,0.11,True,15,86,0.03402896637061846
75,10000,10,0.15,True,15,70,0.03394574001462187
75,7000,10,0.15,True,15,70,0.03394574001462187
75,5000,10,0.15,True,15,70,0.03394574001462187
100,7000,5,0.25,True,15,87,0.033928326986063594
80,5000,2,0.3,True,15,77,0.03382997362933018
90,5000,5,0.25,True,15,81,0.03382983865039353
90,5000,5,0.3,True,15,78,0.03380367056911945
75,5000,7,0.15,True,15,70,0.03377569455479818
70,5000,7,0.11,True,15,69,0.03375573179964721
95,5000,7,0.2,True,15,81,0.03372582892801662
80,5000,7,0.2,True,15,72,0.03371965281443545
75,5000,2,0.2,True,15,69,0.03371643166992936
80,5000,5,0.11,True,15,71,0.03369285863725587
100,7000,2,0.25,True,15,86,0.03358658712679369
80,5000,7,0.25,True,15,71,0.03358568914475106
90,5000,5,0.2,True,15,77,0.033580347044725005
90,5000,2,0.15,True,15,81,0.033560861190783
100,5000,5,0.11,True,15,83,0.03355345665136055
100,5000,2,0.3,True,15,83,0.0335086971220514
80,5000,2,0.2,True,20,67,0.03345385491620486
100,5000,5,0.15,True,15,80,0.03344799524128392
80,7000,7,0.15,True,15,75,0.03343066238076531
80,5000,10,0.2,True,15,74,0.03338442956437306
80,7000,10,0.2,True,15,74,0.03338442956437306
80,10000,10,0.2,True,15,74,0.03338442956437306
100,5000,2,0.25,True,15,87,0.03337481593311923
95,5000,5,0.11,True,15,82,0.03334674524446425
65,5000,5,0.15,True,15,64,0.03334578726615605
90,5000,2,0.3,True,15,74,0.03334385081422589
100,7000,2,0.3,True,15,84,0.03331840193566995
75,5000,5,0.11,True,15,68,0.03330694725316344
100,7000,7,0.25,True,15,83,0.033298225095558465
75,5000,5,0.15,True,15,72,0.03327407726103778
90,7000,5,0.11,True,15,83,0.03323916005316364
70,5000,2,0.3,True,15,67,0.03322504408078035
75,5000,10,0.11,True,15,70,0.0332172291216142
75,7000,10,0.11,True,15,70,0.0332172291216142
75,10000,10,0.11,True,15,70,0.0332172291216142
100,5000,7,0.15,True,15,82,0.033214001979953216
70,10000,10,0.15,True,15,65,0.033210906707081524
70,7000,10,0.15,True,15,65,0.033210906707081524
70,5000,10,0.15,True,15,65,0.033210906707081524
80,5000,5,0.15,True,15,71,0.03317375745578626
80,5000,5,0.2,True,15,72,0.03313396554914242
75,5000,2,0.3,True,15,69,0.033090140110071865
100,5000,5,0.3,True,15,85,0.033046412016946025
70,5000,2,0.15,True,15,67,0.03303290698978011
65,5000,7,0.25,True,15,63,0.03302837500915143
90,7000,2,0.11,True,15,83,0.033015948571846504
75,5000,2,0.25,True,15,70,0.03300107072636938
75,5000,7,0.11,True,15,68,0.03300035387262345
70,5000,2,0.2,True,15,66,0.03293733017485183
80,7000,2,0.25,True,15,71,0.0329276542046961
75,7000,10,0.2,True,15,71,0.03291529506731809
75,10000,10,0.2,True,15,71,0.03291529506731809
75,5000,10,0.2,True,15,71,0.03291529506731809
80,5000,7,0.3,True,20,68,0.03289210050495461
90,5000,7,0.25,True,15,79,0.0328917554473933
75,5000,7,0.3,True,15,70,0.03287008724957843
65,5000,5,0.3,True,15,62,0.032869790644445285
75,5000,5,0.2,True,15,69,0.03286662727853313
70,5000,5,0.11,True,15,67,0.03280826400266371
75,5000,5,0.25,True,15,72,0.032796299828690256
75,5000,7,0.15,True,20,67,0.03278534630797073
95,10000,10,0.2,True,15,83,0.03276355324643186
95,7000,10,0.2,True,15,83,0.03276355324643186
95,5000,10,0.2,True,15,83,0.03276355324643186
75,5000,2,0.15,True,15,73,0.03275685161964657
80,5000,10,0.15,True,15,75,0.03273688188541274
80,7000,10,0.15,True,15,75,0.03273688188541274
80,10000,10,0.15,True,15,75,0.03273688188541274
75,5000,2,0.11,True,15,69,0.03272114307684524
95,5000,7,0.25,True,20,76,0.032717231905870905
95,7000,7,0.2,True,15,85,0.03269728849427236
90,10000,7,0.25,True,15,81,0.03267721193225041
75,10000,10,0.25,True,15,69,0.03266627445001167
75,7000,10,0.25,True,15,69,0.03266627445001167
75,5000,10,0.25,True,15,69,0.03266627445001167
70,5000,5,0.25,True,15,64,0.03266387773226697
70,5000,10,0.11,True,15,66,0.03263830496948853
70,7000,10,0.11,True,15,66,0.03263830496948853
70,10000,10,0.11,True,15,66,0.03263830496948853
90,5000,10,0.25,True,20,72,0.03259835069453741
90,7000,10,0.25,True,20,72,0.03259835069453741
90,10000,10,0.25,True,20,72,0.03259835069453741
90,7000,7,0.25,True,15,79,0.03259653432154676
95,7000,2,0.25,True,15,85,0.03258856887604421
60,10000,10,0.11,True,15,58,0.03255988069050395
60,5000,10,0.11,True,15,58,0.03255988069050395
60,7000,10,0.11,True,15,58,0.03255988069050395
75,5000,7,0.25,True,15,67,0.0325503429429629
100,10000,7,0.15,True,15,85,0.032529154611517126
95,7000,7,0.11,True,15,84,0.032513306533530156
100,5000,7,0.11,True,15,84,0.03249881053680327
80,7000,10,0.11,True,15,74,0.03247798712547892
80,5000,10,0.11,True,15,74,0.03247798712547892
80,10000,10,0.11,True,15,74,0.03247798712547892
95,10000,7,0.25,True,15,83,0.0324726934003529
100,7000,5,0.11,True,15,86,0.03246378752841418
70,7000,2,0.3,True,15,66,0.032459569710128415
100,10000,10,0.2,True,15,82,0.032458517208519215
100,5000,10,0.2,True,15,82,0.032458517208519215
100,7000,10,0.2,True,15,82,0.032458517208519215
100,10000,7,0.25,True,15,84,0.032438158311689155
80,5000,7,0.11,True,20,65,0.0324355161850627
65,5000,5,0.2,True,15,61,0.03241756837725874
95,5000,2,0.2,True,15,81,0.032382313689381874
70,10000,10,0.25,True,15,66,0.03236567614006221
70,5000,10,0.25,True,15,66,0.03236567614006221
70,7000,10,0.25,True,15,66,0.03236567614006221
80,7000,7,0.11,True,15,74,0.03235858784686182
90,10000,10,0.2,True,15,80,0.03234045147973522
90,5000,10,0.2,True,15,80,0.03234045147973522
90,7000,10,0.2,True,15,80,0.03234045147973522
90,5000,2,0.11,True,15,78,0.032333090070772404
100,5000,10,0.3,True,15,85,0.03231558911397675
100,7000,10,0.3,True,15,85,0.03231558911397675
100,10000,10,0.3,True,15,85,0.03231558911397675
65,5000,5,0.3,True,20,59,0.032275700939039864
95,7000,2,0.15,True,15,86,0.032269049792470306
75,5000,7,0.2,True,15,70,0.032265654890137344
80,5000,2,0.11,True,20,66,0.03224857054707249
75,5000,5,0.15,True,20,65,0.03224014769600896
65,5000,7,0.3,True,20,58,0.03223332934602082
90,7000,5,0.25,True,15,78,0.03223063182529576
90,10000,10,0.15,True,15,80,0.032224772333927176
90,5000,10,0.15,True,15,80,0.032224772333927176
90,7000,10,0.15,True,15,80,0.032224772333927176
80,10000,10,0.3,True,15,75,0.032224353692946066
80,7000,10,0.3,True,15,75,0.032224353692946066
80,5000,10,0.3,True,15,75,0.032224353692946066
60,5000,2,0.11,True,15,59,0.03221616099947673
90,5000,5,0.15,True,15,77,0.032211283118507954
90,10000,7,0.11,True,15,79,0.032197806252062186
90,7000,7,0.3,True,15,79,0.03219015448086293
100,10000,2,0.11,True,15,87,0.032183428177266396
100,5000,7,0.3,True,15,82,0.03217381429428477
100,7000,2,0.15,True,15,85,0.03211897390295222
80,5000,7,0.15,True,20,68,0.03208266820794596
75,7000,7,0.2,True,15,68,0.032065986621065606
75,5000,2,0.25,True,20,63,0.03205116748222291
70,5000,2,0.3,True,20,62,0.03204510724447001
60,5000,5,0.15,True,15,57,0.032036674339194944
80,5000,7,0.25,True,20,65,0.03203544862934573
90,5000,2,0.25,True,15,77,0.032026930938996875
80,5000,2,0.25,True,15,72,0.03202281435699042
80,10000,7,0.2,True,15,73,0.03199607238745006
